"idd","cluster","NK_cells_resting","Monocytes","Mast_cells_resting","Macrophages_M0","T_cells_regulatory_.Tregs.","T_cells_CD4_memory_resting","Dendritic_cells_resting","Macrophages_M1","B_cells_naive","T_cells_follicular_helper","T_cells_CD8","NK_cells_activated","T_cells_CD4_naive","Dendritic_cells_activated","Eosinophils","B_cells_memory","Mast_cells_activated","T_cells_gamma_delta","T_cells_CD4_memory_activated","Neutrophils","Plasma_cells","Macrophages_M2"
"DT_09_29","TME1",-0.38708831435276,-0.576776453664715,-0.579226343365134,-0.659943257602987,-0.721840030559286,1.37966891272989,2.4475066081648,-0.865456645910857,-0.91522206933373,-0.659424289386341,-0.434277350018323,0.408749683981505,-0.0671156055214024,-0.103298673800991,-0.154511267983123,0.277743246121443,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.240147649442416,-0.162400994748799,0.292111362092001
"DT_09_26","TME1",-0.38708831435276,-0.279906088475183,-0.510909338740116,-0.659943257602987,-0.38254746023619,1.30082197703985,1.01289770439241,-1.11702974865931,-0.875710263112769,-1.01265459188715,-0.497935312656732,0.110592626255243,-0.0671156055214024,-0.103298673800991,-0.154511267983123,1.00722598396325,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.540230531031344,1.20489109466645
"DT_09_04","TME1",-0.38708831435276,-0.3785788480271,-0.252234437506321,-0.470601136337778,-0.374453804524111,1.70313222551202,0.914800703009968,-1.2957143054954,-0.862536101722539,-0.896339852566939,-0.84694457889974,0.291915877882938,-0.0671156055214024,-0.103298673800991,-0.154511267983123,1.53140138291118,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.638037738658559,0.735624939569406
"DT_09_22","TME1",-0.38708831435276,-0.489473230547941,-0.761287266109485,-0.659943257602987,-0.721840030559286,2.02145614680086,2.09621979696702,-1.35232915002007,-1.13507270973969,-0.991750070302782,-0.687772142222488,-0.624598958602054,-0.0671156055214024,-0.103298673800991,-0.154511267983123,1.3987661505295,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.616680578270649,0.962946159498388
"DT_09_20","TME1",-0.38708831435276,-0.342260475539166,0.00240514565565662,-0.659943257602987,0.144297696022267,1.87353598150643,0.726019684364151,-1.3421708380426,-1.13507270973969,-1.01265459188715,-0.787641694632644,-0.452829520889573,-0.0671156055214024,5.67729190711916,-0.154511267983123,0.102198315024551,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.50883408317563,0.727920065988632
"DT_07_19","TME1",-0.38708831435276,-0.197684294129658,-0.381858769155972,-0.107863169971918,1.36778050446405,0.880332308770617,1.75729771094075,0.175066470985659,-0.799125546741671,-0.452930763939471,-0.399847196519175,0.760809930984664,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,0.254545467787393,-0.533196479194802,-0.331911364785949
"DT_07_18","TME1",-0.38708831435276,0.203129269186978,0.120996308747469,-0.659943257602987,1.22771841039348,1.11222044543257,1.93724640524667,0.227775287676012,-0.531432497844888,-1.01265459188715,-0.376010861044163,-0.518610749716633,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.638037738658559,0.0136446206708748
"DT_10_07","TME1",-0.38708831435276,0.453892138632809,0.289016697126514,-0.659943257602987,3.29743478174863,0.281523383705812,3.39311438552512,-1.43405153887853,0.237272797802903,-0.588728964045164,-0.962437864442315,0.284742052853811,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,0.129944424429502,-0.638037738658559,0.288767135603984
"DT_10_03","TME1",-0.38708831435276,-0.0969324159093015,-0.479227896373529,-0.659943257602987,1.94355855008647,0.824229935178576,-0.00111922595822338,0.101586019324736,0.526481377858891,-1.01265459188715,-0.472280488452009,-0.379750991367661,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,0.422224193547504,-0.130563491730061
"DT_10_02","TME1",-0.38708831435276,-0.551209438621527,-0.0139336193939291,-0.659943257602987,2.62776146542465,-0.328341771703004,0.317853764242249,0.476907417640961,-0.234185448629406,-1.01265459188715,-0.876197542288262,-0.58222680885961,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,0.407971238411197,1.5818199873681
